time,c_temp_pv,k_rpm_pv,n_temp_pv,scale_pv,s_temp_pv,date_only
2023-05-18T15:09:19.018900Z,69.6,189,67.2,3.01,67.1,2023-05-18
2023-05-18T15:09:20.128150Z,69.8,189,67.2,3.01,67,2023-05-18
2023-05-18T15:12:38.819460Z,69.7,189,67.9,3.08,65.9,2023-05-18
2023-05-18T15:12:39.958188Z,69.7,189,67.8,3.08,65.9,2023-05-18
2023-05-18T15:12:41.050178Z,69.7,189,67.8,3.08,65.9,2023-05-18
2023-05-18T15:12:49.009516Z,69.7,189,67.4,3.01,65.8,2023-05-18
2023-05-18T15:12:50.064108Z,69.8,189,67.4,3.01,66,2023-05-18
2023-05-18T15:13:23.566707Z,69.8,189,66.7,3.02,68.1,2023-05-18
2023-05-18T15:13:24.611189Z,69.9,189,66.8,3.02,67.9,2023-05-18
2023-05-18T15:13:55.251018Z,69.7,189,67.8,3.04,66.2,2023-05-18
2023-05-18T15:13:56.311126Z,69.7,189,67.8,3.04,66.3,2023-05-18
2023-05-18T15:14:25.806134Z,69.7,189,66.9,3.03,68.8,2023-05-18
2023-05-18T15:14:26.846427Z,69.7,189,66.9,3.03,68.7,2023-05-18
2023-05-18T15:15:20.566815Z,69.7,189,67.3,3.03,67.5,2023-05-18
2023-05-18T15:15:21.599380Z,69.8,189,67.3,3.03,67.7,2023-05-18
2023-05-18T15:15:22.636430Z,69.6,189,67.2,3.03,67.6,2023-05-18
2023-05-18T15:19:15.731824Z,69.4,189,69.4,3.06,68.4,2023-05-18
2023-05-18T15:19:16.200523Z,69.4,189,69.5,3.06,68.2,2023-05-18
2023-05-18T15:19:16.653731Z,69.4,189,69.5,3.06,68.3,2023-05-18
2023-05-18T15:19:17.144581Z,69.4,189,69.6,3.06,68.3,2023-05-18
2023-05-18T15:19:17.592175Z,69.5,189,69.5,3.06,68.3,2023-05-18
2023-05-18T15:19:44.420958Z,69.4,189,70.3,3.05,70.8,2023-05-18
2023-05-18T15:19:44.858629Z,69.5,189,70.3,3.05,70.8,2023-05-18
2023-05-18T15:19:45.299394Z,69.4,189,70.4,3.04,70.8,2023-05-18
2023-05-18T15:19:45.767063Z,69.4,189,70.4,3.04,70.8,2023-05-18
2023-05-18T15:19:46.208047Z,69.5,189,70.5,3.04,70.9,2023-05-18
2023-05-18T15:19:46.648814Z,69.4,189,70.3,3.04,70.9,2023-05-18
